Symbol,Manning_Name,Group,Family,SubFamily,UniProtID,Entrez,Synonyms,Kinase_Name,found,needs_denovo_design
CDK6,CDK6,CMGC,CDK,CDK4,Q00534,1021,CDKN6,Cyclin-dependent kinase 6,True,False
CDK7,CDK7,CMGC,CDK,CDK7,P50613,1022,CAK CAK1 CDKN7 MO15 STK1,Cyclin-dependent kinase 7,True,False
CDK8,CDK8,CMGC,CDK,CDK8,P49336,1024,,Cyclin-dependent kinase 8,False,True
CDK9,CDK9,CMGC,CDK,CDK9,P50750,1025,CDC2L4 TAK,Cyclin-dependent kinase 9,True,False
CDKL1,CDKL1,CMGC,CDKL,,Q00532,8814,,Cyclin-dependent kinase-like 1,True,False
CDKL2,CDKL2,CMGC,CDKL,,Q92772,8999,,Cyclin-dependent kinase-like 2,True,False
CDKL3,CDKL3,CMGC,CDKL,,Q8IVW4,51265,NKIAMRE,Cyclin-dependent kinase-like 3,True,False
CDKL4,CDKL4,CMGC,CDKL,,Q5MAI5,344387,,Cyclin-dependent kinase-like 4,True,False
CDKL5,CDKL5,CMGC,CDKL,,O76039,6792,STK9,Cyclin-dependent kinase-like 5,True,False
CSNK2A1,CK2a1,CMGC,CK2,,P68400,1457,CK2A1,Casein kinase II subunit alpha,True,False
CSNK2A2,CK2a2,CMGC,CK2,,P19784,1459,CK2A2,Casein kinase II subunit alpha',True,False
CLK1,CLK1,CMGC,CLK,,P49759,1195,CLK,Dual specificity protein kinase CLK1,True,False
CLK2,CLK2,CMGC,CLK,,P49760,1196,,Dual specificity protein kinase CLK2,True,False
CLK3,CLK3,CMGC,CLK,,P49761,1198,,Dual specificity protein kinase CLK3,True,False
CLK4,CLK4,CMGC,CLK,,Q9HAZ1,57396,,Dual specificity protein kinase CLK4,True,False
DYRK1A,DYRK1A,CMGC,DYRK,DYRK1,Q13627,1859,DYRK MNB MNBH,Dual specificity tyrosine-phosphorylation-regulated kinase 1A,True,False
DYRK1B,DYRK1B,CMGC,DYRK,DYRK1,Q9Y463,9149,MIRK,Dual specificity tyrosine-phosphorylation-regulated kinase 1B,True,False
DYRK2,DYRK2,CMGC,DYRK,DYRK2,Q92630,8445,,Dual specificity tyrosine-phosphorylation-regulated kinase 2,True,False
DYRK3,DYRK3,CMGC,DYRK,DYRK2,O43781,8444,,Dual specificity tyrosine-phosphorylation-regulated kinase 3,True,False
DYRK4,DYRK4,CMGC,DYRK,DYRK2,Q9NR20,8798,,Dual specificity tyrosine-phosphorylation-regulated kinase 4,True,False
HIPK1,HIPK1,CMGC,DYRK,HIPK,Q86Z02,204851,KIAA0630 MYAK NBAK2,Homeodomain-interacting protein kinase 1,True,False
HIPK2,HIPK2,CMGC,DYRK,HIPK,Q9H2X6,28996,,Homeodomain-interacting protein kinase 2,True,False
HIPK3,HIPK3,CMGC,DYRK,HIPK,Q9H422,10114,DYRK6 FIST3 PKY,Homeodomain-interacting protein kinase 3,True,False
HIPK4,HIPK4,CMGC,DYRK,HIPK,Q8NE63,147746,,Homeodomain-interacting protein kinase 4,True,False
PRP4K,PRP4,CMGC,DYRK,PRP4,Q13523,8899,KIAA0536 PRP4 PRP4B PRP4H PRPF4K,Serine/threonine-protein kinase PRP4 homolog,True,False
GSK3A,GSK3A,CMGC,GSK,,P49840,2931,,Glycogen synthase kinase-3 alpha,True,False
GSK3B,GSK3B,CMGC,GSK,,P49841,2932,,Glycogen synthase kinase-3 beta,True,False
MAPK1,Erk2,CMGC,MAPK,ERK1,P28482,5594,ERK2 PRKM1 PRKM2,Mitogen-activated protein kinase 1,True,False
MAPK10,JNK3,CMGC,MAPK,JNK,P53779,5602,JNK3 JNK3A PRKM10 SAPK1B,Mitogen-activated protein kinase 10,True,False
MAPK11,p38b,CMGC,MAPK,p38,Q15759,5600,PRKM11 SAPK2 SAPK2B,Mitogen-activated protein kinase 11,True,False
MAPK12,p38g,CMGC,MAPK,p38,P53778,6300,ERK6 SAPK3,Mitogen-activated protein kinase 12,True,False
MAPK13,p38d,CMGC,MAPK,p38,O15264,5603,PRKM13 SAPK4,Mitogen-activated protein kinase 13,True,False
MAPK14,p38a,CMGC,MAPK,p38,Q16539,1432,CSBP CSBP1 CSBP2 CSPB1 MXI2 SAPK2A,Mitogen-activated protein kinase 14,True,False
MAPK15,Erk7,CMGC,MAPK,ERK7,Q8TD08,225689,ERK7 ERK8,Mitogen-activated protein kinase 15,True,False
MAPK3,Erk1,CMGC,MAPK,ERK1,P27361,5595,ERK1 PRKM3,Mitogen-activated protein kinase 3,True,False
MAPK4,Erk4,CMGC,MAPK,ERK3,P31152,5596,ERK4 PRKM4,Mitogen-activated protein kinase 4,True,False
MAPK6,Erk3,CMGC,MAPK,ERK3,Q16659,5597,ERK3 PRKM6,Mitogen-activated protein kinase 6,True,False
MAPK7,Erk5,CMGC,MAPK,ERK5,Q13164,5598,BMK1 ERK5 PRKM7,Mitogen-activated protein kinase 7,True,False
MAPK8,JNK1,CMGC,MAPK,JNK,P45983,5599,JNK1 PRKM8 SAPK1 SAPK1C,Mitogen-activated protein kinase 8,True,False
MAPK9,JNK2,CMGC,MAPK,JNK,P45984,5601,JNK2 PRKM9 SAPK1A,Mitogen-activated protein kinase 9,True,False
NLK,NLK,CMGC,MAPK,nmo,Q9UBE8,51701,LAK1,Serine/threonine-protein kinase NLK,True,False
CILK1,ICK,CMGC,RCK,,Q9UPZ9,22858,ICK KIAA0936,Serine/threonine-protein kinase ICK,True,False
MAK,MAK,CMGC,RCK,,P20794,4117,,Serine/threonine-protein kinase MAK,True,False
MOK,MOK,CMGC,RCK,,Q9UQ07,5891,RAGE RAGE1,MAPK/MAK/MRK overlapping kinase,True,False
SRPK1,SRPK1,CMGC,SRPK,,Q96SB4,6732,,SRSF protein kinase 1,True,False
SRPK2,SRPK2,CMGC,SRPK,,P78362,6733,,SRSF protein kinase 2,True,False
SRPK3,MSSK1,CMGC,SRPK,,Q9UPE1,26576,MSSK1 STK23,SRSF protein kinase 3,True,False
AURKA,AurA,Other,Aur,,O14965,6790,AIK AIRK1 ARK1 AURA AYK1 BTAK IAK1 STK15 STK6,Aurora kinase A,True,False
AURKB,AurB,Other,Aur,,Q96GD4,9212,AIK2 AIM1 AIRK2 ARK2 STK1 STK12 STK5,Aurora kinase B,True,False
AURKC,AurC,Other,Aur,,Q9UQB9,6795,AIE2 AIK3 AIRK3 ARK3 STK13,Aurora kinase C,True,False
BUB1,BUB1,Other,BUB,,O43683,699,BUB1L,Mitotic checkpoint serine/threonine-protein kinase BUB1,True,False
BUB1B,BUBR1,Other,BUB,,O60566,701,BUBR1 MAD3L SSK1,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,True,False
TP53RK,PRPK,Other,Bud32,,Q96S44,112858,C20orf64 PRPK,TP53-regulating kinase,True,False
CAMKK1,CaMKK1,Other,CAMKK,CAMKK-Meta,Q8N5S9,84254,CAMKKA,Calcium/calmodulin-dependent protein kinase kinase 1,True,False
CAMKK2,CaMKK2,Other,CAMKK,CAMKK-Meta,Q96RR4,10645,CAMKKB KIAA0787,Calcium/calmodulin-dependent protein kinase kinase 2,True,False
CDC7,CDC7,Other,CDC7,,O00311,8317,CDC7L1,Cell division cycle 7-related protein kinase,True,False
DSTYK,SgK496,Other,Dusty,,Q6XUX3,25778,KIAA0472 RIP5 RIPK5 SGK496,Dual serine/threonine and tyrosine protein kinase,True,False
HASPIN,Haspin,Other,Haspin,,Q8TF76,83903,GSG2,Serine/threonine-protein kinase haspin,True,False
CHUK,IKKa,Other,IKK,,O15111,1147,IKKA TCF16,Inhibitor of nuclear factor kappa-B kinase subunit alpha,True,False
IKBKB,IKKb,Other,IKK,,O14920,3551,IKKB,Inhibitor of nuclear factor kappa-B kinase subunit beta,True,False
IKBKE,IKKe,Other,IKK,,Q14164,9641,IKKE IKKI KIAA0151,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,True,False
TBK1,TBK1,Other,IKK,,Q9UHD2,29110,NAK,Serine/threonine-protein kinase TBK1,True,False
ERN1,IRE1,Other,IRE,,O75460,2081,IRE1,Serine/threonine-protein kinase/endoribonuclease IRE1,True,False
ERN2,IRE2,Other,IRE,,Q76MJ5,10595,IRE2,Serine/threonine-protein kinase/endoribonuclease IRE2,True,False
UHMK1,KIS,Other,KIS,,Q8TAS1,127933,KIS KIST,Serine/threonine-protein kinase Kist,True,False
MOS,MOS,Other,MOS,,P00540,4342,,Proto-oncogene serine/threonine-protein kinase mos,True,False
AAK1,AAK1,Other,NAK,,Q2M2I8,22848,KIAA1048,AP2-associated protein kinase 1,True,False
BMP2K,BIKE,Other,NAK,,Q9NSY1,55589,BIKE,BMP-2-inducible protein kinase,True,False
GAK,GAK,Other,NAK,,O14976,2580,DNAJC26,Cyclin-G-associated kinase,True,False
STK16,MPSK1,Other,NAK,,O75716,8576,MPSK1 PKL12 TSF1,Serine/threonine-protein kinase 16,True,False
NEK1,NEK1,Other,NEK,,Q96PY6,4750,KIAA1901,Serine/threonine-protein kinase Nek1,True,False
NEK10,NEK10,Other,NEK,,Q6ZWH5,152110,,Serine/threonine-protein kinase Nek10,True,False
NEK11,NEK11,Other,NEK,,Q8NG66,79858,,Serine/threonine-protein kinase Nek11,True,False
NEK2,NEK2,Other,NEK,,P51955,4751,NEK2A NLK1,Serine/threonine-protein kinase Nek2,True,False
NEK3,NEK3,Other,NEK,,P51956,4752,,Serine/threonine-protein kinase Nek3,True,False
NEK4,NEK4,Other,NEK,,P51957,6787,STK2,Serine/threonine-protein kinase Nek4,True,False
NEK5,NEK5,Other,NEK,,Q6P3R8,341676,,Serine/threonine-protein kinase Nek5,True,False
NEK6,NEK6,Other,NEK,,Q9HC98,10783,,Serine/threonine-protein kinase Nek6,True,False
NEK7,NEK7,Other,NEK,,Q8TDX7,140609,,Serine/threonine-protein kinase Nek7,True,False
NEK8,NEK8,Other,NEK,,Q86SG6,284086,JCK NEK12A,Serine/threonine-protein kinase Nek8,True,False
NEK9,NEK9,Other,NEK,,Q8TD19,91754,KIAA1995 NEK8 NERCC,Serine/threonine-protein kinase Nek9,True,False
SBK1,SBK,Other,NKF1,,Q52WX2,388228,,Serine/threonine-protein kinase SBK1,True,False
SBK2,SgK069,Other,NKF1,,P0C263,646643,SGK069,Serine/threonine-protein kinase SBK2,True,False
SBK3,SgK110,Other,NKF1,,P0C264,100130827,SGK110,Putative uncharacterized serine/threonine-protein kinase SgK110,True,False
PINK1,PINK1,Other,NKF2,,Q9BXM7,65018,,Serine/threonine-protein kinase PINK1,True,False
PEAK1,SgK269,Other,NKF3,,Q9H792,79834,KIAA2002,Pseudopodium-enriched atypical kinase 1,True,False
PRAG1,SgK223,Other,NKF3,,Q86YV5,157285,SGK223,Tyrosine-protein kinase SgK223,True,False
PDIK1L,CLIK1L,Other,NKF4,,Q8N165,149420,CLIK1L,Serine/threonine-protein kinase PDIK1L,True,False
STK35,CLIK1,Other,NKF4,,Q8TDR2,140901,CLIK1 PDIK1 STK35L1,Serine/threonine-protein kinase 35,True,False
TEX14,SgK424,Other,NKF5,,Q8IWB6,56155,SGK307,Inactive serine/threonine-protein kinase TEX14,True,False
NRBP1,NRBP1,Other,NRBP,,Q9UHY1,29959,BCON3 NRBP,Nuclear receptor-binding protein,True,False
NRBP2,NRBP2,Other,NRBP,,Q9NSY0,340371,,Nuclear receptor-binding protein 2,True,False
POMK,SgK196,Other,Other-Unique,,Q9H5K3,84197,SGK196,Protein kinase-like protein SgK196,True,False
RNASEL,RNAseL,Other,Other-Unique,,Q05823,6041,RNS4,2-5A-dependent ribonuclease,True,False
STK31,SgK396,Other,Other-Unique,,Q9BXU1,56164,SGK396,Serine/threonine-protein kinase 31,True,False
PAN3,PAN3,Other,PAN3,,Q58A45,255967,,PAB-dependent poly(A)-specific ribonuclease subunit 3,True,False
EIF2AK1,HRI,Other,PEK,,Q9BQI3,27102,HRI KIAA1369,Eukaryotic translation initiation factor 2-alpha kinase 1,True,False
EIF2AK2,PKR,Other,PEK,,P19525,5610,PKR PRKR,Interferon-induced,True,False
EIF2AK3,PEK,Other,PEK,PEK,Q9NZJ5,9451,PEK PERK,Eukaryotic translation initiation factor 2-alpha kinase 3,True,False
EIF2AK4,GCN2,Other,PEK,GCN2,Q9P2K8,440275,GCN2 KIAA1338,Eukaryotic translation initiation factor 2-alpha kinase 4,True,False
PLK1,PLK1,Other,PLK,,P53350,5347,PLK,Serine/threonine-protein kinase PLK1,True,False
PLK2,PLK2,Other,PLK,,Q9NYY3,10769,SNK,Serine/threonine-protein kinase PLK2,True,False
PLK3,PLK3,Other,PLK,,Q9H4B4,1263,CNK FNK PRK,Serine/threonine-protein kinase PLK3,True,False
PLK4,PLK4,Other,PLK,,O00444,10733,SAK STK18,Serine/threonine-protein kinase PLK4,True,False
SCYL1,SCYL1,Other,SCY1,,Q96KG9,57410,CVAK90 GKLP NTKL TAPK TEIF TRAP,N-terminal kinase-like protein,True,False
SCYL2,SCYL2,Other,SCY1,,Q6P3W7,55681,CVAK104 KIAA1360,SCY1-like protein 2,True,False
SCYL3,SCYL3,Other,SCY1,,Q8IZE3,57147,PACE1,Protein-associating with the carboxyl-terminal domain of ezrin,True,False
STKLD1,SgK071,Other,SgK071,,Q8NE28,169436,C9orf96 SGK071,Protein kinase-like protein SgK071,True,False
PKDCC,SgK493,Other,SgK493,,Q504Y2,91461,SGK493 VLK,Protein kinase domain-containing protein,True,False
PXK,Slob,Other,Slob,,Q7Z7A4,54899,,PX domain-containing protein kinase-like protein,True,False
TBCK,TBCK,Other,TBCK,,Q8TEA7,93627,FERRY1 TBCKL,TBC domain-containing protein kinase-like protein,True,False
TLK1,TLK1,Other,TLK,,Q9UKI8,9874,KIAA0137,Serine/threonine-protein kinase tousled-like 1,True,False
TLK2,TLK2,Other,TLK,,Q86UE8,11011,,Serine/threonine-protein kinase tousled-like 2,True,False
PBK,PBK,Other,TOPK,,Q96KB5,55872,TOPK,Lymphokine-activated killer T-cell-originated protein kinase,True,False
TTK,TTK,Other,TTK,,P33981,7272,MPS1 MPS1L1,Dual specificity protein kinase TTK,True,False
STK36,Fused,Other,ULK,,Q9NRP7,27148,KIAA1278,Serine/threonine-protein kinase 36,True,False
ULK1,ULK1,Other,ULK,,O75385,8408,KIAA0722,Serine/threonine-protein kinase ULK1,True,False
ULK2,ULK2,Other,ULK,,Q8IYT8,9706,KIAA0623,Serine/threonine-protein kinase ULK2,True,False
ULK3,ULK3,Other,ULK,,Q6PHR2,25989,,Serine/threonine-protein kinase ULK3,True,False
ULK4,ULK4,Other,ULK,,Q96C45,54986,,Serine/threonine-protein kinase ULK4,True,False
PIK3R4,PIK3R4,Other,VPS15,,Q99570,30849,VPS15,Phosphoinositide 3-kinase regulatory subunit 4,True,False
PKMYT1,MYT1,Other,WEE,,Q99640,9088,MYT1,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase,True,False
WEE1,Wee1,Other,WEE,,P30291,7465,,Wee1-like protein kinase,True,False
WEE2,Wee1B,Other,WEE,,P0C1S8,494551,WEE1B,Wee1-like protein kinase 2,True,False
WNK1,Wnk1,Other,WNK,,Q9H4A3,65125,HSN2 KDP KIAA0344 PRKWNK1,Serine/threonine-protein kinase WNK1,True,False
WNK2,Wnk2,Other,WNK,,Q9Y3S1,65268,KIAA1760 PRKWNK2 SDCCAG43,Serine/threonine-protein kinase WNK2,True,False
WNK3,Wnk3,Other,WNK,,Q9BYP7,65267,KIAA1566 PRKWNK3,Serine/threonine-protein kinase WNK3,True,False
WNK4,Wnk4,Other,WNK,,Q96J92,65266,PRKWNK4,Serine/threonine-protein kinase WNK4,True,False
GUCY2C,HSER,RGC,RGC,,P25092,2984,GUC2C STAR,Heat-stable enterotoxin receptor,True,False
GUCY2D,CYGD,RGC,RGC,,Q02846,3000,CORD6 GUC1A4 GUC2D RETGC RETGC1,Retinal guanylyl cyclase 1,True,False
GUCY2F,CYGF,RGC,RGC,,P51841,2986,GUC2F RETGC2,Retinal guanylyl cyclase 2,True,False
NPR1,ANPa,RGC,RGC,,P16066,4881,ANPRA,Atrial natriuretic peptide receptor 1,True,False
NPR2,ANPb,RGC,RGC,,P20594,4882,ANPRB,Atrial natriuretic peptide receptor 2,True,False
MAP3K14,NIK,STE,STE-Unique,,Q99558,9020,NIK,Mitogen-activated protein kinase kinase kinase 14,True,False
MAP3K8,COT,STE,STE-Unique,,P41279,1326,COT ESTF,Mitogen-activated protein kinase kinase kinase 8,True,False
MAP3K1,MAP3K1,STE,STE11,,Q13233,4214,MAPKKK1 MEKK MEKK1,Mitogen-activated protein kinase kinase kinase 1,True,False
MAP3K15,MAP3K7,STE,STE11,,Q6ZN16,389840,ASK3,Mitogen-activated protein kinase kinase kinase 15,True,False
MAP3K19,MAP3K8,STE,STE11,,Q56UN5,80122,RCK YSK4,Mitogen-activated protein kinase kinase kinase 19,True,False
MAP3K2,MAP3K2,STE,STE11,,Q9Y2U5,10746,MAPKKK2 MEKK2,Mitogen-activated protein kinase kinase kinase 2,True,False
MAP3K3,MAP3K3,STE,STE11,,Q99759,4215,MAPKKK3 MEKK3,Mitogen-activated protein kinase kinase kinase 3,True,False
MAP3K4,MAP3K4,STE,STE11,,Q9Y6R4,4216,KIAA0213 MAPKKK4 MEKK4 MTK1,Mitogen-activated protein kinase kinase kinase 4,True,False
MAP3K5,MAP3K5,STE,STE11,,Q99683,4217,ASK1 MAPKKK5 MEKK5,Mitogen-activated protein kinase kinase kinase 5,True,False
MAP3K6,MAP3K6,STE,STE11,,O95382,9064,ASK2 MAPKKK6 MEKK6,Mitogen-activated protein kinase kinase kinase 6,True,False
MAP4K1,HPK1,STE,STE20,KHS,Q92918,11184,HPK1,Mitogen-activated protein kinase kinase kinase kinase 1,True,False
MAP4K2,GCK,STE,STE20,KHS,Q12851,5871,GCK RAB8IP,Mitogen-activated protein kinase kinase kinase kinase 2,True,False
MAP4K3,KHS2,STE,STE20,KHS,Q8IVH8,8491,RAB8IPL1,Mitogen-activated protein kinase kinase kinase kinase 3,True,False
MAP4K4,ZC1/HGK,STE,STE20,MSN,O95819,9448,HGK KIAA0687 NIK,Mitogen-activated protein kinase kinase kinase kinase 4,True,False
MAP4K5,KHS1,STE,STE20,KHS,Q9Y4K4,11183,,Mitogen-activated protein kinase kinase kinase kinase 5,True,False
MINK1,ZC3/MINK,STE,STE20,MSN,Q8N4C8,50488,B55 MAP4K6 MINK YSK2 ZC3,Misshapen-like kinase 1,True,False
MYO3A,MYO3A,STE,STE20,NinaC,Q8NEV4,53904,,Myosin-IIIa,True,False
MYO3B,MYO3B,STE,STE20,NinaC,Q8WXR4,140469,,Myosin-IIIb,True,False
NRK,ZC4/NRK,STE,STE20,MSN,Q7Z2Y5,203447,,Nik-related protein kinase,True,False
OXSR1,OSR1,STE,STE20,FRAY,O95747,9943,KIAA1101 OSR1,Serine/threonine-protein kinase OSR1,True,False
PAK1,PAK1,STE,STE20,PAKA,Q13153,5058,,Serine/threonine-protein kinase PAK 1,True,False
PAK2,PAK2,STE,STE20,PAKA,Q13177,5062,,Serine/threonine-protein kinase PAK 2,True,False
PAK3,PAK3,STE,STE20,PAKA,O75914,5063,OPHN3,Serine/threonine-protein kinase PAK 3,True,False
PAK4,PAK4,STE,STE20,PAKB,O96013,10298,KIAA1142,Serine/threonine-protein kinase PAK 4,True,False
PAK5,PAK5,STE,STE20,PAKB,Q9P286,57144,KIAA1264 PAK7,Serine/threonine-protein kinase PAK 7,True,False
PAK6,PAK6,STE,STE20,PAKB,Q9NQU5,106821730,PAK5,Serine/threonine-protein kinase PAK 6,True,False
SLK,SLK,STE,STE20,SLK,Q9H2G2,9748,KIAA0204 STK2,STE20-like serine/threonine-protein kinase,True,False
STK10,LOK,STE,STE20,SLK,O94804,6793,LOK,Serine/threonine-protein kinase 10,True,False
STK24,MST3,STE,STE20,YSK,Q9Y6E0,8428,MST3 STK3,Serine/threonine-protein kinase 24,True,False
STK25,YSK1,STE,STE20,YSK,O00506,10494,SOK1 YSK1,Serine/threonine-protein kinase 25,True,False
STK26,MST4,STE,STE20,YSK,Q9P289,51765,MASK MST4,Serine/threonine-protein kinase MST4,True,False
STK3,MST2,STE,STE20,MST,Q13188,6788,KRS1 MST2,Serine/threonine-protein kinase 3,True,False
STK39,STLK3,STE,STE20,FRAY,Q9UEW8,27347,PASK SPAK,STE20/SPS1-related proline-alanine-rich protein kinase,True,False
STK4,MST1,STE,STE20,MST,Q13043,6789,KRS2 MST1,Serine/threonine-protein kinase 4,True,False
STRADA,STLK5,STE,STE20,STLK,Q7RTN6,92335,LYK5 STRAD,STE20-related kinase adapter protein alpha,True,False
STRADB,STLK6,STE,STE20,STLK,Q9C0K7,55437,ALS2CR2 ILPIP,STE20-related kinase adapter protein beta,True,False
TAOK1,TAO1,STE,STE20,TAO,Q7L7X3,57551,KIAA1361 MAP3K16 MARKK,Serine/threonine-protein kinase TAO1,True,False
TAOK2,TAO2,STE,STE20,TAO,Q9UL54,9344,KIAA0881 MAP3K17 PSK PSK1,Serine/threonine-protein kinase TAO2,True,False
TAOK3,TAO3,STE,STE20,TAO,Q9H2K8,51347,DPK JIK KDS MAP3K18,Serine/threonine-protein kinase TAO3,True,False
TNIK,ZC2/TNIK,STE,STE20,MSN,Q9UKE5,23043,KIAA0551,TRAF2 and NCK-interacting protein kinase,True,False
MAP2K1,MAP2K1,STE,STE7,,Q02750,5604,MEK1 PRKMK1,Dual specificity mitogen-activated protein kinase kinase 1,True,False
MAP2K2,MAP2K2,STE,STE7,,P36507,5605,MEK2 MKK2 PRKMK2,Dual specificity mitogen-activated protein kinase kinase 2,True,False
MAP2K3,MAP2K3,STE,STE7,,P46734,5606,MEK3 MKK3 PRKMK3 SKK2,Dual specificity mitogen-activated protein kinase kinase 3,True,False
MAP2K4,MAP2K4,STE,STE7,,P45985,6416,JNKK1 MEK4 MKK4 PRKMK4 SEK1 SERK1 SKK1,Dual specificity mitogen-activated protein kinase kinase 4,True,False
MAP2K5,MAP2K5,STE,STE7,,Q13163,5607,MEK5 MKK5 PRKMK5,Dual specificity mitogen-activated protein kinase kinase 5,True,False
MAP2K6,MAP2K6,STE,STE7,,P52564,5608,MEK6 MKK6 PRKMK6 SKK3,Dual specificity mitogen-activated protein kinase kinase 6,True,False
MAP2K7,MAP2K7,STE,STE7,,O14733,5609,JNKK2 MEK7 MKK7 PRKMK7 SKK4,Dual specificity mitogen-activated protein kinase kinase 7,True,False
ALK,ALK,TK,ALK,,Q9UM73,238,,ALK tyrosine kinase receptor,True,False
LTK,LTK,TK,ALK,,P29376,4058,TYK1,Leukocyte tyrosine kinase receptor,True,False
ABL1,ABL,TK,Abl,,P00519,25,ABL JTK7,Tyrosine-protein kinase ABL1,True,False
ABL2,ARG,TK,Abl,,P42684,27,ABLL ARG,Abelson tyrosine-protein kinase 2,True,False
TNK1,TNK1,TK,Ack,,Q13470,8711,,Non-receptor tyrosine-protein kinase TNK1,True,False
TNK2,ACK,TK,Ack,,Q07912,10188,ACK1,Activated CDC42 kinase 1,True,False
AXL,AXL,TK,Axl,,P30530,558,UFO,Tyrosine-protein kinase receptor UFO,True,False
MERTK,MER,TK,Axl,,Q12866,10461,MER,Tyrosine-protein kinase Mer,True,False
TYRO3,TYRO3,TK,Axl,,Q06418,7301,BYK DTK RSE SKY TIF,Tyrosine-protein kinase receptor TYRO3,True,False
PTK7,CCK4,TK,CCK4,,Q13308,5754,CCK4,Inactive tyrosine-protein kinase 7,True,False
CSK,CSK,TK,Csk,,P41240,1445,,Tyrosine-protein kinase CSK,True,False
MATK,CTK,TK,Csk,,P42679,4145,CTK HYL,Megakaryocyte-associated tyrosine-protein kinase,True,False
DDR1,DDR1,TK,DDR,,Q08345,780,CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE,Epithelial discoidin domain-containing receptor 1,True,False
DDR2,DDR2,TK,DDR,,Q16832,4921,NTRKR3 TKT TYRO10,Discoidin domain-containing receptor 2,True,False
EGFR,EGFR,TK,EGFR,,P00533,1956,ERBB ERBB1 HER1,Epidermal growth factor receptor,True,False
ERBB2,HER2/ErbB2,TK,EGFR,,P04626,2064,HER2 MLN19 NEU NGL,Receptor tyrosine-protein kinase erbB-2,True,False
ERBB3,HER3/ErbB3,TK,EGFR,,P21860,2065,HER3,Receptor tyrosine-protein kinase erbB-3,True,False
ERBB4,HER4/ErbB4,TK,EGFR,,Q15303,2066,HER4,Receptor tyrosine-protein kinase erbB-4,True,False
EPHA1,EphA1,TK,Eph,,P21709,2041,EPH EPHT EPHT1,Ephrin type-A receptor 1,True,False
EPHA10,EphA10,TK,Eph,,Q5JZY3,284656,,Ephrin type-A receptor 10,True,False
EPHA2,EphA2,TK,Eph,,P29317,1969,ECK,Ephrin type-A receptor 2,True,False
EPHA3,EphA3,TK,Eph,,P29320,2042,ETK ETK1 HEK TYRO4,Ephrin type-A receptor 3,True,False
EPHA4,EphA4,TK,Eph,,P54764,2043,HEK8 SEK TYRO1,Ephrin type-A receptor 4,True,False
EPHA5,EphA5,TK,Eph,,P54756,2044,BSK EHK1 HEK7 TYRO4,Ephrin type-A receptor 5,True,False
EPHA6,EphA6,TK,Eph,,Q9UF33,285220,EHK2 HEK12,Ephrin type-A receptor 6,True,False
EPHA7,EphA7,TK,Eph,,Q15375,2045,EHK3 HEK11,Ephrin type-A receptor 7,True,False
EPHA8,EphA8,TK,Eph,,P29322,2046,EEK HEK3 KIAA1459,Ephrin type-A receptor 8,True,False
EPHB1,EphB1,TK,Eph,,P54762,2047,ELK EPHT2 HEK6 NET,Ephrin type-B receptor 1,True,False
EPHB2,EphB2,TK,Eph,,P29323,2048,DRT EPHT3 EPTH3 ERK HEK5 TYRO5,Ephrin type-B receptor 2,True,False
EPHB3,EphB3,TK,Eph,,P54753,2049,ETK2 HEK2 TYRO6,Ephrin type-B receptor 3,True,False
EPHB4,EphB4,TK,Eph,,P54760,2050,HTK MYK1 TYRO11,Ephrin type-B receptor 4,True,False
EPHB6,EphB6,TK,Eph,,O15197,2051,,Ephrin type-B receptor 6,True,False
PTK2,FAK,TK,FAK,,Q05397,5747,FAK FAK1,Focal adhesion kinase 1,True,False
PTK2B,PYK2,TK,FAK,,Q14289,2185,FAK2 PYK2 RAFTK,Protein-tyrosine kinase 2-beta,True,False
FGFR1,FGFR1,TK,FGFR,,P11362,2260,BFGFR CEK FGFBR FLG FLT2 HBGFR,Fibroblast growth factor receptor 1,True,False
FGFR2,FGFR2,TK,FGFR,,P21802,2263,BEK KGFR KSAM,Fibroblast growth factor receptor 2,True,False
FGFR3,FGFR3,TK,FGFR,,P22607,2261,JTK4,Fibroblast growth factor receptor 3,True,False
FGFR4,FGFR4,TK,FGFR,,P22455,2264,JTK2 TKF,Fibroblast growth factor receptor 4,True,False
FER,FER,TK,Fer,,P16591,2241,TYK3,Tyrosine-protein kinase Fer,True,False
FES,FES,TK,Fer,,P07332,2242,FPS,Tyrosine-protein kinase Fes/Fps,True,False
IGF1R,IGF1R,TK,InsR,,P08069,3480,,Insulin-like growth factor 1 receptor,True,False
INSR,INSR,TK,InsR,,P06213,3643,,Insulin receptor,True,False
INSRR,IRR,TK,InsR,,P14616,3645,IRR,Insulin receptor-related protein,True,False
TYK2,TYK2,TK,Jak,,P29597,7297,,Non-receptor tyrosine-protein kinase TYK2,True,False
JAK1,Domain2_JAK1,TK,JakB,,P23458,3716,JAK1A JAK1B,Tyrosine-protein kinase JAK1,True,False
JAK2,Domain2_JAK2,TK,JakB,,O60674,3717,,Tyrosine-protein kinase JAK2,True,False
JAK3,Domain2_JAK3,TK,JakB,,P52333,3718,,Tyrosine-protein kinase JAK3,True,False
