representation_x,reads_per_guide,cells_maintain,cells_seed_MOI0p3,gDNA_ng_per_sample,PCR_wells_200ng,reads_per_sample,total_reads_9samples,pct_NovaSeq_SP
300,300,938700,3621782,6195.0,31,938700,8448300,1.06
300,500,938700,3621782,6195.0,31,1564500,14080500,1.76
300,1000,938700,3621782,6195.0,31,3129000,28161000,3.52
500,300,1564500,6036303,10326.0,52,938700,8448300,1.06
500,500,1564500,6036303,10326.0,52,1564500,14080500,1.76
500,1000,1564500,6036303,10326.0,52,3129000,28161000,3.52
1000,300,3129000,12072607,20651.0,104,938700,8448300,1.06
1000,500,3129000,12072607,20651.0,104,1564500,14080500,1.76
1000,1000,3129000,12072607,20651.0,104,3129000,28161000,3.52
